,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,About the MusicXML file,,,,,,,,,,,,,About the musical piece,,,,,,,,,,,,,,,,,,,,,,,About the source of the musical piece
#,Identifier,Title,Rights,Creator,Gender,Date,Type,Format,Publisher,Contributor,Role,Gender,Description,RightsP,CreatorP,Role,Gender,Key,Metre,Tempo,Genre,Instrument,Contributor,Role,Gender,Alternative title,Date,Description,Type,Format,Subject,Language,Relation,HasVersion,IsVersionOf,Coverage,Col_id
,dc:identifier,dc:title,dc:rights,dc:creator,,dc:date,dc:type,dc:format,dc:publisher,dc:contributor,,,dc:description,dc:rights,dc:creator,,,manual,manual,manual,,,dc:contributor,,,dcterms:alternative,dc:date,dc:description,dc:type,dc:format,dc:subject,dc:language,dc:relation,dcterms:hasVersion,dcterms:isVersionOf,dc:coverage,dc:source
,"Unique, same as filename",Title of the musical piece,Creative commons or rights statements,Creator of the MusicXML file,,Creation date, ,This is always just MusicXML,Which instituion provided the musicXML file,If possible link to URI,,,,Creative commons or rights statements,If possible link to URI,,,,,,,If possible link to URI,If possible link to URI,,,,If the date of the source is different to the date of the musical piece,,,,If possible link to URI,"Language of the musical piece, taken from URI","Relationship to another musical piece, use ID",Use ID,Use ID,Spatial or temporal associations with the musical piece,Enter the unique identifier for the Collection.  Details of the collection are on the Collection List tab
,,,,,,,,,,,,,,,,,,,,,Dance Music,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IE-2019-D-HLS-001,"One, two, three, four, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-002,"Twenty, eighteen, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-003,"The rippo, the rappo, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-004,"Bluebells, cockleshells, rhyme ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-005,"Skip, skip, skip to my Lou, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-006,"My name is L I L I, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-007,"Dusty bluebells, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-008,"A big ship sailed to the illy ally oh, song",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-009,"Wallflowers, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-010,"A little thing goes wandering about, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-011,"Thart fá dtaobh de’n bhaile, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,Irish,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-012,"Green gravel, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-013,"Old Roger is dead, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
,IE-2019-D-HLS-014,"Cups and saucers, song ",CC-BY (Creative Commons – Attribution ,"Harkin, Treasa",Female,Mar-24,Software,MusicXML,Irish Traditional Music Archive,,,,,In copyright - Educational Use Permitted ,"Shields, Hugh, 1929-2008 ",Collector,Male,,,,Childhood Music,,"Shields, Lisa",Editor,Female,,,,Text,,,English,,,,,IE-2019-D-HLS
