id,start,end
IE-2019-D-HLS-001,0,None
IE-2019-D-HLS-002,0,None
IE-2019-D-HLS-003,0,None
IE-2019-D-HLS-004,0,None
IE-2019-D-HLS-005,0,None
IE-2019-D-HLS-006,0,None
IE-2019-D-HLS-007,0,12
IE-2019-D-HLS-008,0,None
IE-2019-D-HLS-009,0,17
IE-2019-D-HLS-010,0,None
IE-2019-D-HLS-011,0,None
IE-2019-D-HLS-012,6,31
IE-2019-D-HLS-013,0,19
IE-2019-D-HLS-014,0,None
IE-2019-D-HLS-015,0,10
IE-2019-D-HLS-016,0,12
IE-2019-D-HLS-017,0,None
IE-2019-D-HLS-018,0,None
IE-2019-D-HLS-019,0,8
IE-2019-D-HLS-020,0,13
IE-2019-D-HLS-021,0,10
IE-2019-D-HLS-022,0,None
IE-2019-D-HLS-023,0,8
IE-2019-D-HLS-024,13,24
IE-2019-D-HLS-025,24,49
IE-2019-D-HLS-026,0,7
IE-2019-D-HLS-027,0,None
IE-2019-D-HLS-028,0,9
IE-2019-D-HLS-029,0,13
IE-2019-D-HLS-030,0,None
IE-2019-D-HLS-031,0,None
IE-2019-D-HLS-032,0,None
IE-2019-D-HLS-033,0,None
IE-2019-D-HLS-034,0,None
IE-2019-D-HLS-035,0,None
IE-2019-D-HLS-036,0,None
IE-2019-D-HLS-037,0,None
IE-2019-D-HLS-038,0,20
IE-2019-D-HLS-039,0,20
IE-2019-D-HLS-040,0,None
IE-2019-D-HLS-041,0,None
IE-2019-D-HLS-042,0,19
IE-2019-D-HLS-043,0,None
IE-2019-D-HLS-044,0,None
IE-2019-D-HLS-045,0,30
IE-2019-D-HLS-046,0,25
IE-2019-D-HLS-047,0,46
IE-2019-D-HLS-048,0,10
IE-2019-D-HLS-049,0,None
IE-2019-D-HLS-050,0,36
IE-2019-D-HLS-051,0,34
IE-2019-D-HLS-052,0,None
IE-2019-D-HLS-053,0,None
IE-2019-D-HLS-054,0,None
IE-2019-D-HLS-055,0,None
IE-2019-D-HLS-056,0,None
IE-2019-D-HLS-057,0,12
IE-2019-D-HLS-058,0,20
IE-2019-D-HLS-059,0,None
IE-2019-D-HLS-060,0,28
IE-2019-D-HLS-061,0,12
IE-2019-D-HLS-062,0,18
IE-2019-D-HLS-063,0,37
IE-2019-D-HLS-064,0,30
