,identifier,title,rightsP,creatorP,key,metre,tempo,genre,instrument,alternativeTitle,subject,language,relation,hasVersion,isVersionOf,coverage,lyrics,audioLink,repetiveness_ratio,tokens
0,IE-2019-D-HLS-001,"One, two, three, four, song ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"One, two three, four
Anastasia at the door
Kissing Gabbie at the gate,
Five, six, seven, eight.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_001_(HS_6818_Track_18).mp3,1.5578947368421052,"['one', 'two', 'three', 'four', 'anastasia', 'at', 'the', 'door', 'kissing', 'gabbie', 'at', 'the', 'gate', 'five', 'six', 'seven', 'eight']"
1,IE-2019-D-HLS-002,"Twenty, eighteen, song ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"Twenty, eighteen, sixteen, fourteen,
Twelve, ten, eight, six, four, two, none,
Nineteen, seventeen, fifteen and thirteen,
Eleven, nine, seven, five, three and one.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_007_(HS_6112_(ITMA_2192g_Track_21)).mp3,1.030674846625767,"['twenty', 'eighteen', 'sixteen', 'fourteen', 'twelve', 'ten', 'eight', 'six', 'four', 'two', 'none', 'nineteen', 'seventeen', 'fifteen', 'and', 'thirteen', 'eleven', 'nine', 'seven', 'five', 'three', 'and', 'one']"
2,IE-2019-D-HLS-003,"The rippo, the rappo, song ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"The rippo, the rappo, the sailor's on the sea,
Me oh, my oh, they're after me.
Are you coming to the fair?
I went, she went, there's no fair there.
I must not miss a loopie-oh.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_013_(HS_6818_Track_16).mp3,1.098901098901099,"['the', 'rippo', 'the', 'rappo', 'the', 'sailor', 's', 'on', 'the', 'sea', 'me', 'oh', 'my', 'oh', 'they', 're', 'after', 'me', 'are', 'you', 'coming', 'to', 'the', 'fair', 'i', 'went', 'she', 'went', 'there', 's', 'no', 'fair', 'there', 'i', 'must', 'not', 'miss', 'a']"
3,IE-2019-D-HLS-004,"Bluebells, cockleshells, rhyme ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"Bluebells, cockle-shells,
Eever, iver, over.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_018_(HS_6818_Track_26).mp3,2.272727272727273,"['bluebells', 'eever', 'iver', 'over']"
4,IE-2019-D-HLS-005,"Skip, skip, skip to my Lou, song ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"Skip, skip, skip to maloo,
Skip, skip, skip to maloo,
Skip, skip, skip to maloo,
Skip to maloo, my darling.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_021_(HS_6903_Track_5_pruned).mp3,0.9719626168224299,"['skip', 'skip', 'skip', 'to', 'maloo', 'skip', 'skip', 'skip', 'to', 'maloo', 'skip', 'skip', 'skip', 'to', 'maloo', 'skip', 'to', 'maloo', 'my', 'darling']"
5,IE-2019-D-HLS-006,"My name is L I L I, song ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"My name is L - I - L - I
Chickalie, chickalie,
Walla waller winker,
Chinese chopsticks,
Indian chief.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_026_(HS_6818_Track_39).mp3,1.4257425742574257,"['my', 'name', 'is', 'l', 'i', 'l', 'i', 'chickalie', 'chickalie', 'walla', 'waller', 'winker', 'chinese', 'chopsticks', 'indian', 'chief']"
6,IE-2019-D-HLS-007,"Dusty bluebells, song ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"In and out goes the dusty bluebells,
In and out goes the dusty bluebells,
In and out goes the dusty bluebells,
You are the master.
Tapper-rapper-rapper on your shoulders,
Tapper-rapper-rapper on your shoulders,
Tapper-rapper-rapper on your shoulders,
You are the master.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_028_(HS_6918_Track_06).mp3,0.5777777777777777,"['in', 'and', 'out', 'goes', 'the', 'dusty', 'bluebells', 'in', 'and', 'out', 'goes', 'the', 'dusty', 'bluebells', 'in', 'and', 'out', 'goes', 'the', 'dusty', 'bluebells', 'you', 'are', 'the', 'master', 'on', 'your', 'shoulders', 'on', 'your', 'shoulders', 'on', 'your', 'shoulders', 'you', 'are', 'the', 'master']"
7,IE-2019-D-HLS-008,"A big ship sailed to the illy ally oh, song",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"A big ship sails to the illy ally oh,
The illy ally oh, the illy ally oh,
A big ship sails to the illy ally oh,
On the last day of September.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_030_(HS_6112e_Track_08_TOO_FAINT.mp3,0.9645390070921985,"['a', 'big', 'ship', 'sails', 'to', 'the', 'illy', 'ally', 'oh', 'the', 'illy', 'ally', 'oh', 'the', 'illy', 'ally', 'oh', 'a', 'big', 'ship', 'sails', 'to', 'the', 'illy', 'ally', 'oh', 'on', 'the', 'last', 'day', 'of', 'september']"
8,IE-2019-D-HLS-009,"Wallflowers, song ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"Wallflowers, wallflowers, growing up so high,
Especially Marie, she is the youngest child.
Oh fie, for shame, oh fie, for shame,
Turn your back against the game.
Wallflowers, wallflowers, growing up so high,
Especially Deborah, she is the youngest child.
Oh fie, for shame, oh fie, for shame,
Turn your back against the game.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_031_(HS_6818_Track_02_pruned).mp3,0.6135693215339233,"['wallflowers', 'wallflowers', 'growing', 'up', 'so', 'high', 'especially', 'marie', 's', 'she', 'is', 'the', 'youngest', 'child', 'oh', 'fie', 'for', 'shame', 'oh', 'fie', 'for', 'shame', 'turn', 'your', 'back', 'against', 'the', 'game', 'wallflowers', 'wallflowers', 'growing', 'up', 'so', 'high', 'especially', 'deborah', 'c', 'she', 'is', 'the', 'youngest', 'child', 'oh', 'fie', 'for', 'shame', 'oh', 'fie', 'for', 'shame', 'turn', 'your', 'back', 'against', 'the', 'game']"
9,IE-2019-D-HLS-010,"A little thing goes wandering about, song ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",,,,Childhood Music,,,,English,,,,,"A little thing goes wandering about
Behind her backs and under her tracks.
See, I have got it,
See, I have got it,
Tra-la, la-la, la-la.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_033_(HS_6906_Track_12).mp3,1.2058823529411764,"['a', 'little', 'thing', 'goes', 'wandering', 'about', 'behind', 'her', 'backs', 'and', 'under', 'her', 'tracks', 'see', 'i', 'have', 'got', 'it', 'see', 'i', 'have', 'got', 'it']"
